Id,Listing_URL,Name,Property_Type,Room_Type,Min_Nights,Max_Nights,Cancellation_Policy,Accomodates,Total_Bedrooms,Total_Beds,Availability_365,Price,Security_Deposit,Cleaning_fee,Guests_Included,Number_of_Reviews,Review_Scores,Amenities,Host_Id,Host_Name,Country,Longitude,Latitude,Is_location_exact
1003530,https://www.airbnb.com/rooms/1003530,New York City - Upper West Side Apt,Apartment,Private room,12,360,strict_14_with_grace_period,2,1,1,93,135,0,135,1,70,94.0,"Internet, Wifi, Air conditioning, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, translation missing: en.hosting_amenity_50",454250,Greta,United States,-73.96523,40.79962,False
10133554,https://www.airbnb.com/rooms/10133554,Double and triple rooms Blue mosque,Bed and breakfast,Private room,1,1125,moderate,3,1,2,365,121,0,0,1,29,92.0,"Internet, Wifi, Air conditioning, Free parking on premises, Smoking allowed, Heating, Family/kid friendly, Suitable for events, Washer, Dryer, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff",52004703,Mehmet Emin,Turkey,28.98009,41.0062,False
10059872,https://www.airbnb.com/rooms/10059872,"Soho Cozy, Spacious and Convenient",Apartment,Entire home/apt,4,20,flexible,3,1,2,0,699,0,0,1,3,100.0,"Air conditioning, Kitchen, Smoking allowed, Doorman, Elevator, Heating, Family/kid friendly, Essentials, 24-hour check-in, translation missing: en.hosting_amenity_50",51624384,Giovanni,Hong Kong,114.15027,22.28158,True
10084023,https://www.airbnb.com/rooms/10084023,City center private room with bed,Guesthouse,Private room,1,500,strict_14_with_grace_period,1,1,1,220,181,0,50,1,81,92.0,"TV, Wifi, Air conditioning, Kitchen, Elevator, First aid kit, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Microwave, Refrigerator, Dishes and silverware, Stove, Long term stays allowed, Host greets you",51744313,Yi,Hong Kong,114.1669,22.3314,True
10091713,https://www.airbnb.com/rooms/10091713,Surry Hills Studio - Your Perfect Base in Sydney,Apartment,Entire home/apt,10,21,strict_14_with_grace_period,2,0,1,0,181,300,50,1,64,95.0,"TV, Wifi, Kitchen, Elevator, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Ethernet connection, Other",13764143,Ben,Australia,151.21554,-33.88029,True
10112159,https://www.airbnb.com/rooms/10112159,Downtown Oporto Inn (room cleaning),Hostel,Private room,1,1125,moderate,2,1,1,359,40,0,50,2,0,95.0,"TV, Cable TV, Wifi, Family/kid friendly, Smoke detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Hot water, Long term stays allowed, Other",2649859,Elisabete,Portugal,-8.60867,41.1543,False
10096773,https://www.airbnb.com/rooms/10096773,Easy 1 Bedroom in Chelsea,Apartment,Entire home/apt,2,1125,flexible,2,1,1,0,145,0,60,1,1,100.0,"TV, Internet, Wifi, Kitchen, Heating, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials",34607505,Scott,United States,-74.00074,40.74577,True
10140368,https://www.airbnb.com/rooms/10140368,A bedroom far away from home,Apartment,Private room,1,10,strict_14_with_grace_period,2,1,1,34,45,0,0,1,239,95.0,"Wifi, Kitchen, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Private entrance, Hot water, Host greets you",1017772,Lane,United States,-73.82257,40.71485,True
10021707,https://www.airbnb.com/rooms/10021707,Private Room in Bushwick,Apartment,Private room,14,1125,flexible,1,1,1,0,40,0,0,1,1,100.0,"Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Heating, Smoke detector, Carbon monoxide detector, Essentials, Lock on bedroom door",11275734,Josh,United States,-73.93615,40.69791,True
10038496,https://www.airbnb.com/rooms/10038496,Copacabana Apartment Posto 6,Apartment,Entire home/apt,3,75,strict_14_with_grace_period,4,1,3,118,119,600,150,3,70,98.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Oven, Stove, Long term stays allowed, Wide hallway clearance, Host greets you",51530266,Ana Valéria,Brazil,-43.190849194463404,-22.984339360067814,False
10059244,https://www.airbnb.com/rooms/10059244,Ligne verte - à 15 min de métro du centre ville.,Apartment,Entire home/apt,2,1125,moderate,2,0,1,32,43,0,0,1,0,95.0,"TV, Internet, Wifi, Kitchen, Free parking on premises, Heating, Washer, Smoke detector, Essentials, Shampoo, Laptop friendly workspace, Hot water, Bed linens",7140229,Caro,Canada,-73.54949,45.54548,False
10116578,https://www.airbnb.com/rooms/10116578,Apartamento zona sul do RJ,Apartment,Entire home/apt,1,1125,flexible,5,3,3,365,933,0,0,1,0,95.0,"Cable TV, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Free parking on premises, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Washer, 24-hour check-in, Iron",51915770,Luiz Rodrigo,Brazil,-43.1825954762751,-22.930541460367934,False
10009999,https://www.airbnb.com/rooms/10009999,Horto flat with small garden,Apartment,Entire home/apt,2,1125,flexible,4,1,2,0,317,0,187,1,0,95.0,"Wifi, Wheelchair accessible, Kitchen, Free parking on premises, Smoking allowed, Hot tub, Buzzer/wireless intercom, Family/kid friendly, Washer, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace",1282196,Ynaie,Brazil,-43.23074991429229,-22.966253551739655,True
10066928,https://www.airbnb.com/rooms/10066928,3 chambres au coeur du Plateau,Apartment,Entire home/apt,1,1125,flexible,6,3,3,0,140,0,0,1,0,95.0,"Internet, Wifi, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",9036477,Margaux,Canada,-73.57383,45.52233,True
10115921,https://www.airbnb.com/rooms/10115921,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Serviced apartment,Entire home/apt,1,1125,strict_14_with_grace_period,4,2,4,365,838,0,0,1,3,67.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Kitchen, Paid parking off premises, Smoking allowed, Doorman, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Suitable for events, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, Crib, Hot water, Luggage dropoff allowed, Long term stays allowed",51471538,Ahmet,Turkey,28.98713,41.04841,False
10083468,https://www.airbnb.com/rooms/10083468,Be Happy in Porto,Loft,Entire home/apt,2,1125,moderate,2,1,1,335,30,0,10,1,178,97.0,"TV, Cable TV, Wifi, Kitchen, Smoking allowed, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Stove, Long term stays allowed, Well-lit path to entrance, Step-free access, Wide clearance to bed, Accessible-height bed, Step-free access, Step-free access, Handheld shower head, Paid parking on premises",27518920,Fábio,Portugal,-8.61123,41.15225,False
10117617,https://www.airbnb.com/rooms/10117617,A Casa Alegre é um apartamento T1.,Apartment,Entire home/apt,7,180,moderate,2,1,1,46,40,250,15,2,12,96.0,"TV, Kitchen, Elevator, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Bathtub, Beachfront",51920973,Manuela,Portugal,-8.75383,41.3596,False
